drug_name,drug_class,indications,side_effects,side_effect_severity,approval_status
Zyloprofen19,Vaccine,Pain relief,"Headache, Diarrhea, Blurred vision",Moderate,Approved
Mecoparin30,Analgesic,Bacterial infections,"Dizziness, Blurred vision, Diarrhea",Severe,Pending
Loxoprofen85,Antibiotic,Fever reduction,Headache,Severe,Rejected
Serovir80,Antihistamine,Allergy relief,Dizziness,Moderate,Pending
Cefprofen96,Anti-inflammatory,Prevent infectious disease,Dry mouth,Moderate,Pending
Viracillin47,Antibiotic,Bacterial infections,"Dry mouth, Fatigue",Mild,Pending
Rivadipine99,Antifungal,Psychosis control,"Insomnia, Headache, Diarrhea",Severe,Pending
Serovir17,Antidepressant,Pain relief,"Insomnia, Dizziness",Moderate,Rejected
Serozepam71,Antidepressant,Allergy relief,Dry mouth,Mild,Approved
Cefprofen55,Anti-inflammatory,Bacterial infections,"Dry mouth, Rash, Constipation",Severe,Approved
Cefxetine92,Antipyretic,Allergy relief,"Blurred vision, Diarrhea",Moderate,Pending
Rivastatin37,Anti-inflammatory,Viral infections,"Rash, Headache, Dizziness",Mild,Rejected
Virazole71,Anti-inflammatory,Depression treatment,Rash,Mild,Pending
Rivamab22,Antipsychotic,Pain relief,"Rash, Fatigue",Mild,Pending
Amoxcillin98,Antihistamine,Viral infections,"Insomnia, Dry mouth",Mild,Approved
Cefzepam94,Antiviral,Depression treatment,"Rash, Dry mouth",Moderate,Rejected
Daxodipine26,Anti-inflammatory,Prevent infectious disease,"Headache, Constipation",Severe,Approved
Zylocillin70,Antiviral,Fungal infections,"Fatigue, Blurred vision",Mild,Pending
Loxoparin13,Antiviral,Bacterial infections,Headache,Moderate,Pending
Cefmab84,Antiviral,Allergy relief,Dizziness,Severe,Rejected
Mecomab57,Antihistamine,Prevent infectious disease,"Headache, Insomnia, Blurred vision",Severe,Pending
Zylovir94,Anti-inflammatory,Prevent infectious disease,Insomnia,Mild,Approved
Serostatin24,Vaccine,Viral infections,Headache,Mild,Approved
Seroprofen34,Antipsychotic,Pain relief,"Rash, Headache",Severe,Rejected
Amoxcillin71,Antifungal,Pain relief,"Rash, Insomnia",Mild,Pending
Virastatin26,Antibiotic,Prevent infectious disease,Dry mouth,Moderate,Pending
Rivacillin82,Analgesic,Allergy relief,"Dry mouth, Nausea, Blurred vision",Severe,Approved
Cefdipine14,Anti-inflammatory,Psychosis control,"Nausea, Dizziness, Headache",Moderate,Pending
Zylostatin93,Antiviral,Bacterial infections,"Diarrhea, Nausea, Rash",Moderate,Pending
Fenoxetine95,Antihistamine,Depression treatment,Nausea,Mild,Rejected
Serocillin95,Antihistamine,Fever reduction,"Insomnia, Rash, Nausea",Mild,Approved
Cefxetine60,Antidepressant,Inflammation reduction,"Fatigue, Diarrhea",Severe,Approved
Viraxetine36,Antidepressant,Fungal infections,Dizziness,Moderate,Rejected
Loxodipine33,Antibiotic,Bacterial infections,Diarrhea,Mild,Approved
Cefprofen67,Antiviral,Psychosis control,"Diarrhea, Blurred vision, Rash",Mild,Approved
Zyloprofen25,Antibiotic,Fever reduction,Constipation,Moderate,Rejected
Mecoparin38,Analgesic,Inflammation reduction,"Dizziness, Fatigue",Severe,Approved
Fenozepam61,Antibiotic,Inflammation reduction,"Dizziness, Nausea",Moderate,Rejected
Zyloxetine98,Antiviral,Bacterial infections,Headache,Mild,Approved
Fenozepam26,Anti-inflammatory,Viral infections,"Fatigue, Dizziness, Blurred vision",Severe,Rejected
Viraprofen94,Antiviral,Prevent infectious disease,"Blurred vision, Headache",Mild,Rejected
Fenozepam78,Antibiotic,Depression treatment,"Constipation, Nausea, Fatigue",Severe,Approved
Serocillin26,Antifungal,Depression treatment,"Constipation, Insomnia, Dizziness",Moderate,Pending
Amoxprofen97,Antibiotic,Psychosis control,"Diarrhea, Insomnia",Moderate,Approved
Loxoparin94,Analgesic,Pain relief,"Blurred vision, Headache",Moderate,Pending
Daxoxetine74,Antidepressant,Allergy relief,Nausea,Severe,Pending
Amoxzole45,Antihistamine,Depression treatment,"Nausea, Insomnia",Moderate,Rejected
Zylozole96,Vaccine,Allergy relief,Insomnia,Severe,Rejected
Amoxparin41,Anti-inflammatory,Fungal infections,"Dry mouth, Constipation, Blurred vision",Severe,Pending
Fenomab73,Antipyretic,Viral infections,Diarrhea,Severe,Rejected
Serozole98,Antidepressant,Bacterial infections,"Dry mouth, Blurred vision",Moderate,Approved
Loxoxetine33,Antibiotic,Allergy relief,Headache,Mild,Approved
Mecodipine78,Vaccine,Depression treatment,"Rash, Dizziness",Severe,Pending
Rivaprofen49,Antihistamine,Pain relief,Dizziness,Severe,Approved
Fenostatin84,Analgesic,Bacterial infections,"Dizziness, Dry mouth",Moderate,Pending
Rivaprofen80,Antibiotic,Pain relief,Nausea,Mild,Rejected
Viradipine61,Anti-inflammatory,Prevent infectious disease,Dry mouth,Mild,Approved
Fenoparin86,Vaccine,Fever reduction,Dry mouth,Moderate,Pending
Amoxvir18,Antifungal,Prevent infectious disease,"Blurred vision, Dizziness",Moderate,Approved
Viraxetine28,Anti-inflammatory,Viral infections,"Insomnia, Blurred vision",Moderate,Approved
Cefxetine20,Antipyretic,Viral infections,"Insomnia, Blurred vision",Mild,Approved
Seroxetine31,Antiviral,Pain relief,"Diarrhea, Constipation, Dizziness",Mild,Rejected
Amoxxetine87,Antiviral,Viral infections,Diarrhea,Severe,Pending
Daxozole34,Antipyretic,Bacterial infections,"Headache, Insomnia",Mild,Rejected
Zylostatin92,Antihistamine,Fever reduction,"Diarrhea, Blurred vision, Nausea",Moderate,Pending
Serozepam90,Antipsychotic,Allergy relief,Dry mouth,Severe,Rejected
Fenoprofen93,Antiviral,Fever reduction,Rash,Mild,Pending
Rivaxetine90,Analgesic,Depression treatment,Fatigue,Mild,Rejected
Daxozole40,Antifungal,Bacterial infections,"Diarrhea, Constipation",Severe,Approved
Rivadipine90,Analgesic,Pain relief,"Fatigue, Diarrhea",Mild,Rejected
Zylostatin42,Antifungal,Prevent infectious disease,Constipation,Mild,Approved
Serocillin90,Antidepressant,Depression treatment,"Insomnia, Headache",Severe,Approved
Loxomab92,Antifungal,Psychosis control,Headache,Mild,Rejected
Loxodipine45,Antihistamine,Depression treatment,"Diarrhea, Fatigue, Constipation",Mild,Pending
Loxostatin62,Anti-inflammatory,Fever reduction,"Headache, Fatigue, Dry mouth",Mild,Pending
Rivazole52,Antipsychotic,Inflammation reduction,Constipation,Severe,Approved
Serozepam72,Antidepressant,Psychosis control,"Diarrhea, Blurred vision, Insomnia",Moderate,Approved
Viraprofen25,Antifungal,Bacterial infections,"Constipation, Fatigue",Mild,Rejected
Viracillin43,Analgesic,Fever reduction,Blurred vision,Mild,Pending
Amoxparin93,Antibiotic,Fever reduction,"Headache, Constipation",Severe,Rejected
Amoxvir81,Antiviral,Pain relief,"Headache, Dry mouth",Moderate,Rejected
Daxoparin23,Antipyretic,Fever reduction,Nausea,Mild,Pending
Amoxparin16,Antibiotic,Allergy relief,"Dry mouth, Diarrhea",Severe,Approved
Daxovir89,Antipsychotic,Inflammation reduction,"Constipation, Fatigue, Dry mouth",Mild,Rejected
Zylomab58,Antipyretic,Inflammation reduction,"Diarrhea, Fatigue",Moderate,Approved
Amoxmab22,Analgesic,Bacterial infections,"Nausea, Dry mouth, Constipation",Mild,Pending
Rivastatin32,Antidepressant,Prevent infectious disease,"Insomnia, Dizziness",Mild,Pending
Zylostatin60,Anti-inflammatory,Allergy relief,Fatigue,Mild,Pending
Fenozepam42,Antipsychotic,Inflammation reduction,"Dry mouth, Headache, Rash",Mild,Approved
Fenostatin78,Antibiotic,Viral infections,"Headache, Insomnia",Mild,Approved
Rivaparin20,Antiviral,Fever reduction,"Diarrhea, Nausea, Headache",Severe,Pending
Mecovir64,Antidepressant,Fever reduction,"Headache, Blurred vision",Mild,Approved
Virastatin63,Analgesic,Viral infections,"Insomnia, Blurred vision",Severe,Pending
Cefdipine80,Antipsychotic,Inflammation reduction,"Rash, Headache, Nausea",Mild,Pending
Daxomab11,Antidepressant,Prevent infectious disease,"Dry mouth, Constipation, Diarrhea",Moderate,Pending
Daxoxetine27,Antidepressant,Prevent infectious disease,Constipation,Severe,Approved
Amoxxetine23,Antihistamine,Psychosis control,"Headache, Insomnia, Nausea",Severe,Rejected
Mecozepam16,Antipsychotic,Depression treatment,"Fatigue, Blurred vision",Moderate,Approved
Mecodipine88,Antihistamine,Pain relief,"Dizziness, Dry mouth",Moderate,Pending
Seroprofen94,Vaccine,Depression treatment,Dry mouth,Severe,Rejected
Daxozepam65,Antifungal,Fever reduction,"Dry mouth, Insomnia",Mild,Rejected
Loxoxetine44,Vaccine,Pain relief,Fatigue,Severe,Approved
Amoxprofen88,Antidepressant,Allergy relief,"Headache, Insomnia, Diarrhea",Mild,Pending
Daxomab52,Vaccine,Allergy relief,Dizziness,Moderate,Rejected
Amoxcillin65,Antibiotic,Prevent infectious disease,Dry mouth,Moderate,Rejected
Cefzole11,Antihistamine,Viral infections,Rash,Moderate,Approved
Viradipine65,Antipsychotic,Bacterial infections,"Fatigue, Diarrhea, Headache",Severe,Rejected
Daxozepam86,Antipyretic,Allergy relief,"Headache, Dizziness, Insomnia",Mild,Approved
Amoxprofen67,Vaccine,Viral infections,"Headache, Diarrhea",Moderate,Rejected
Mecoxetine64,Antibiotic,Fungal infections,Insomnia,Moderate,Rejected
Zylozole29,Antifungal,Depression treatment,"Constipation, Insomnia",Severe,Approved
Zylomab53,Antiviral,Depression treatment,"Insomnia, Headache, Diarrhea",Moderate,Pending
Cefzole35,Anti-inflammatory,Prevent infectious disease,"Dry mouth, Constipation",Mild,Approved
Zylovir85,Antipsychotic,Fever reduction,"Headache, Diarrhea, Rash",Mild,Pending
Amoxzole56,Antidepressant,Fever reduction,Constipation,Severe,Rejected
Zylozepam47,Antipyretic,Inflammation reduction,"Fatigue, Rash, Diarrhea",Severe,Rejected
Viraparin32,Antidepressant,Prevent infectious disease,"Fatigue, Constipation",Severe,Rejected
Zylozole18,Antidepressant,Inflammation reduction,Headache,Mild,Rejected
Seroxetine96,Anti-inflammatory,Allergy relief,"Fatigue, Rash, Blurred vision",Severe,Pending
Fenocillin86,Antihistamine,Psychosis control,"Dry mouth, Constipation, Insomnia",Mild,Approved
Fenoprofen97,Antiviral,Fungal infections,"Fatigue, Diarrhea",Mild,Pending
Daxoparin47,Antiviral,Bacterial infections,"Blurred vision, Diarrhea",Moderate,Pending
Rivaparin87,Vaccine,Prevent infectious disease,"Fatigue, Insomnia, Dry mouth",Severe,Rejected
Loxostatin91,Antiviral,Viral infections,"Dry mouth, Fatigue",Mild,Approved
Loxoxetine13,Analgesic,Allergy relief,"Nausea, Dry mouth, Blurred vision",Severe,Rejected
Fenoprofen89,Anti-inflammatory,Fever reduction,"Headache, Nausea",Severe,Approved
Fenoparin19,Antipsychotic,Psychosis control,"Insomnia, Blurred vision, Dry mouth",Mild,Rejected
Loxovir91,Vaccine,Prevent infectious disease,Dry mouth,Mild,Approved
Cefparin16,Antidepressant,Inflammation reduction,"Rash, Dizziness",Moderate,Rejected
Amoxcillin64,Anti-inflammatory,Fungal infections,"Dizziness, Fatigue, Constipation",Severe,Pending
Zyloprofen64,Antipsychotic,Allergy relief,Diarrhea,Moderate,Pending
Fenozepam92,Antibiotic,Allergy relief,"Blurred vision, Dizziness, Fatigue",Severe,Rejected
Loxostatin47,Vaccine,Allergy relief,Dry mouth,Severe,Approved
Loxoxetine40,Anti-inflammatory,Fungal infections,"Diarrhea, Dry mouth",Severe,Rejected
Fenomab49,Antipsychotic,Viral infections,"Blurred vision, Insomnia",Mild,Pending
Viraparin82,Antidepressant,Allergy relief,Nausea,Moderate,Pending
Loxostatin71,Analgesic,Fungal infections,Dry mouth,Mild,Approved
Serozepam35,Antibiotic,Bacterial infections,Dizziness,Mild,Pending
Virastatin49,Vaccine,Pain relief,"Insomnia, Dizziness",Mild,Rejected
Cefxetine21,Antidepressant,Psychosis control,Constipation,Mild,Pending
Cefxetine46,Vaccine,Depression treatment,"Fatigue, Insomnia, Nausea",Mild,Rejected
Rivaxetine60,Antifungal,Allergy relief,"Dry mouth, Insomnia, Nausea",Severe,Rejected
Loxozepam65,Antipsychotic,Fungal infections,"Dizziness, Rash",Severe,Pending
Mecodipine19,Antipyretic,Pain relief,"Constipation, Rash, Headache",Moderate,Pending
Virastatin40,Antihistamine,Viral infections,"Blurred vision, Constipation",Severe,Approved
Fenoprofen78,Vaccine,Viral infections,"Dizziness, Constipation, Headache",Mild,Approved
Cefzepam62,Antipyretic,Psychosis control,Headache,Severe,Rejected
Daxoxetine26,Antifungal,Allergy relief,"Dry mouth, Dizziness, Blurred vision",Moderate,Pending
Viraprofen92,Vaccine,Allergy relief,"Dizziness, Dry mouth",Moderate,Approved
Serovir99,Antipsychotic,Depression treatment,Diarrhea,Moderate,Rejected
Fenoxetine28,Antifungal,Fungal infections,Blurred vision,Mild,Approved
Viramab63,Antiviral,Depression treatment,"Constipation, Dizziness, Dry mouth",Severe,Pending
Daxozepam73,Antiviral,Fungal infections,"Insomnia, Dry mouth",Mild,Approved
Mecovir95,Analgesic,Bacterial infections,"Nausea, Dizziness",Severe,Pending
Seromab27,Analgesic,Allergy relief,"Dizziness, Constipation",Severe,Pending
Daxomab91,Antidepressant,Allergy relief,Nausea,Mild,Approved
Amoxxetine71,Anti-inflammatory,Prevent infectious disease,"Headache, Fatigue",Moderate,Approved
Serozepam96,Antihistamine,Psychosis control,"Headache, Dry mouth",Mild,Approved
Daxostatin88,Antiviral,Fever reduction,Blurred vision,Mild,Approved
Mecoparin37,Antipyretic,Allergy relief,"Rash, Fatigue",Mild,Pending
Rivamab66,Vaccine,Prevent infectious disease,"Blurred vision, Diarrhea",Severe,Rejected
Rivadipine35,Antiviral,Allergy relief,"Constipation, Insomnia, Headache",Mild,Rejected
Cefxetine29,Vaccine,Pain relief,Dizziness,Mild,Pending
Mecovir22,Vaccine,Allergy relief,"Rash, Dizziness",Mild,Rejected
Daxomab60,Antipyretic,Psychosis control,"Dry mouth, Insomnia, Blurred vision",Moderate,Approved
Seroprofen44,Antipsychotic,Prevent infectious disease,"Rash, Nausea",Moderate,Rejected
Fenostatin19,Antifungal,Depression treatment,"Headache, Dizziness",Severe,Approved
Mecozepam44,Analgesic,Inflammation reduction,Rash,Severe,Rejected
Amoxxetine11,Antipsychotic,Inflammation reduction,Fatigue,Severe,Rejected
Mecostatin14,Anti-inflammatory,Depression treatment,"Nausea, Dizziness",Moderate,Pending
Fenodipine32,Analgesic,Bacterial infections,Constipation,Severe,Rejected
Serozepam90,Antidepressant,Pain relief,Dry mouth,Mild,Rejected
Amoxcillin61,Antidepressant,Fever reduction,"Fatigue, Headache, Blurred vision",Mild,Approved
Cefzole43,Antifungal,Prevent infectious disease,Rash,Moderate,Approved
Seroparin74,Analgesic,Allergy relief,Nausea,Severe,Approved
Seromab52,Antiviral,Viral infections,"Diarrhea, Nausea",Moderate,Pending
Rivaparin94,Anti-inflammatory,Fever reduction,"Blurred vision, Insomnia, Rash",Moderate,Approved
Cefvir95,Antipsychotic,Fever reduction,Rash,Mild,Rejected
Amoxzole86,Analgesic,Fungal infections,"Fatigue, Dry mouth",Severe,Approved
Fenocillin18,Anti-inflammatory,Allergy relief,Blurred vision,Moderate,Approved
Seroparin76,Antidepressant,Psychosis control,Blurred vision,Moderate,Approved
Loxodipine57,Antifungal,Fungal infections,Blurred vision,Severe,Pending
Zylovir33,Antifungal,Bacterial infections,"Constipation, Fatigue",Mild,Approved
Viracillin58,Analgesic,Allergy relief,"Insomnia, Dry mouth, Constipation",Moderate,Pending
Seromab88,Antifungal,Prevent infectious disease,"Nausea, Insomnia, Diarrhea",Severe,Rejected
Zylodipine14,Analgesic,Bacterial infections,"Nausea, Rash, Blurred vision",Mild,Approved
Rivadipine47,Antiviral,Inflammation reduction,"Nausea, Dry mouth",Severe,Rejected
Mecomab85,Antidepressant,Fever reduction,"Nausea, Fatigue, Blurred vision",Moderate,Pending
Amoxxetine30,Antifungal,Psychosis control,"Fatigue, Dizziness",Severe,Rejected
Daxostatin28,Anti-inflammatory,Viral infections,Blurred vision,Mild,Rejected
Seroxetine93,Anti-inflammatory,Depression treatment,"Rash, Dizziness, Dry mouth",Mild,Pending
Rivaparin27,Anti-inflammatory,Fever reduction,Fatigue,Severe,Rejected
Cefprofen76,Antiviral,Prevent infectious disease,Constipation,Mild,Rejected
Amoxparin66,Antibiotic,Depression treatment,"Headache, Blurred vision, Dry mouth",Severe,Rejected
Fenozepam96,Antiviral,Fever reduction,"Dizziness, Rash",Mild,Pending
Zylodipine37,Anti-inflammatory,Psychosis control,"Rash, Dry mouth",Moderate,Rejected
Daxocillin50,Antipsychotic,Inflammation reduction,Nausea,Mild,Rejected
Cefvir49,Analgesic,Allergy relief,Dizziness,Moderate,Approved
Mecozepam32,Antidepressant,Depression treatment,"Blurred vision, Headache, Dizziness",Severe,Approved
Amoxcillin59,Antifungal,Psychosis control,Dry mouth,Moderate,Pending
Rivadipine74,Antidepressant,Bacterial infections,"Rash, Headache, Insomnia",Mild,Approved
Daxozepam74,Antibiotic,Fungal infections,"Insomnia, Dry mouth",Mild,Rejected
Viracillin97,Antibiotic,Fungal infections,"Dizziness, Rash, Nausea",Mild,Pending
Cefvir25,Antihistamine,Allergy relief,"Headache, Fatigue",Moderate,Pending
Zyloprofen50,Antihistamine,Viral infections,Headache,Moderate,Approved
Zylozole18,Antifungal,Fever reduction,"Fatigue, Nausea",Moderate,Rejected
Fenozepam21,Anti-inflammatory,Prevent infectious disease,"Diarrhea, Dry mouth",Severe,Rejected
Virazepam91,Anti-inflammatory,Psychosis control,Fatigue,Severe,Approved
Cefzepam90,Antibiotic,Bacterial infections,"Headache, Dry mouth",Moderate,Rejected
Daxostatin49,Antifungal,Pain relief,"Diarrhea, Constipation",Mild,Pending
Amoxparin66,Anti-inflammatory,Fever reduction,"Dizziness, Nausea",Mild,Approved
Rivaprofen18,Antifungal,Bacterial infections,Dry mouth,Severe,Rejected
Daxoparin14,Antifungal,Bacterial infections,"Blurred vision, Rash, Insomnia",Severe,Pending
Viraprofen90,Antihistamine,Depression treatment,"Dizziness, Dry mouth",Mild,Rejected
Amoxprofen14,Vaccine,Viral infections,"Rash, Dry mouth, Headache",Severe,Pending
Seromab18,Antiviral,Pain relief,Dizziness,Severe,Approved
Daxocillin68,Antibiotic,Viral infections,"Blurred vision, Nausea, Diarrhea",Mild,Approved
Loxovir33,Antibiotic,Fungal infections,"Nausea, Dry mouth",Moderate,Rejected
Cefcillin23,Antibiotic,Psychosis control,Dizziness,Mild,Approved
Seroprofen12,Analgesic,Inflammation reduction,"Rash, Dizziness, Constipation",Moderate,Approved
Zyloprofen25,Analgesic,Allergy relief,Rash,Severe,Rejected
Daxocillin56,Anti-inflammatory,Fever reduction,"Blurred vision, Constipation, Dry mouth",Severe,Approved
Fenoprofen12,Antipyretic,Allergy relief,"Blurred vision, Diarrhea, Dry mouth",Severe,Pending
Cefzepam33,Antifungal,Prevent infectious disease,"Constipation, Rash",Mild,Approved
Cefvir94,Vaccine,Depression treatment,"Rash, Dizziness",Severe,Approved
Mecozole29,Antipyretic,Fungal infections,"Blurred vision, Rash",Severe,Pending
Viradipine96,Antihistamine,Inflammation reduction,Rash,Moderate,Rejected
Mecozole85,Antipyretic,Fungal infections,"Headache, Fatigue, Diarrhea",Mild,Approved
Daxozepam84,Antidepressant,Pain relief,"Dizziness, Insomnia",Moderate,Rejected
Fenozole66,Antipyretic,Fever reduction,Fatigue,Severe,Pending
Seroprofen69,Antipsychotic,Depression treatment,"Constipation, Fatigue, Headache",Mild,Rejected
Rivamab17,Anti-inflammatory,Psychosis control,"Insomnia, Blurred vision",Severe,Pending
Mecozepam35,Antibiotic,Psychosis control,"Rash, Nausea, Dizziness",Moderate,Approved
Serozole63,Antipsychotic,Prevent infectious disease,"Constipation, Blurred vision, Insomnia",Mild,Pending
Fenodipine80,Antidepressant,Inflammation reduction,Dry mouth,Moderate,Pending
Mecoparin14,Antibiotic,Pain relief,Insomnia,Mild,Pending
Daxomab45,Antiviral,Pain relief,"Blurred vision, Diarrhea",Severe,Pending
Mecozepam41,Analgesic,Depression treatment,"Headache, Fatigue",Severe,Pending
Rivamab17,Antidepressant,Prevent infectious disease,"Headache, Insomnia",Severe,Pending
Serozole84,Antipyretic,Bacterial infections,"Diarrhea, Rash, Dizziness",Moderate,Rejected
Fenozepam55,Antibiotic,Prevent infectious disease,"Constipation, Blurred vision",Moderate,Approved
Zyloparin97,Antipsychotic,Fungal infections,Blurred vision,Severe,Pending
Loxovir75,Antidepressant,Depression treatment,"Rash, Insomnia",Severe,Pending
Fenodipine84,Antiviral,Inflammation reduction,"Rash, Blurred vision",Moderate,Pending
Mecoprofen56,Vaccine,Prevent infectious disease,"Blurred vision, Insomnia, Diarrhea",Severe,Approved
Rivaprofen59,Vaccine,Allergy relief,Dizziness,Severe,Pending
Viradipine19,Antidepressant,Depression treatment,"Constipation, Dry mouth, Insomnia",Severe,Approved
Amoxstatin19,Antifungal,Allergy relief,"Diarrhea, Dizziness",Moderate,Rejected
Seromab75,Analgesic,Viral infections,Nausea,Mild,Rejected
Zylozole76,Anti-inflammatory,Bacterial infections,Headache,Mild,Pending
Daxovir39,Analgesic,Prevent infectious disease,Nausea,Moderate,Rejected
Viraprofen83,Antidepressant,Fever reduction,"Dizziness, Dry mouth",Severe,Rejected
Loxostatin66,Antipsychotic,Fungal infections,Fatigue,Moderate,Approved
Loxodipine77,Vaccine,Fungal infections,Rash,Mild,Pending
Zylomab43,Vaccine,Prevent infectious disease,"Fatigue, Diarrhea",Mild,Pending
Loxoprofen99,Antiviral,Bacterial infections,"Insomnia, Dizziness, Constipation",Severe,Rejected
Daxocillin59,Antihistamine,Psychosis control,Dizziness,Moderate,Pending
Cefprofen72,Antipsychotic,Bacterial infections,"Diarrhea, Headache",Moderate,Pending
Zylozole95,Antidepressant,Fever reduction,Dry mouth,Mild,Approved
Viraxetine21,Antipsychotic,Psychosis control,"Nausea, Constipation, Blurred vision",Severe,Rejected
Rivazepam31,Antipsychotic,Pain relief,"Dizziness, Diarrhea, Fatigue",Severe,Approved
Fenocillin34,Antiviral,Viral infections,Headache,Moderate,Rejected
Loxovir26,Anti-inflammatory,Pain relief,Nausea,Mild,Rejected
Daxoprofen74,Antifungal,Fever reduction,"Constipation, Fatigue",Severe,Pending
Zylostatin92,Analgesic,Bacterial infections,"Blurred vision, Nausea",Mild,Rejected
Zyloprofen87,Anti-inflammatory,Viral infections,"Headache, Fatigue, Constipation",Mild,Pending
Fenoparin96,Antihistamine,Bacterial infections,Dry mouth,Mild,Rejected
Virazole10,Analgesic,Fungal infections,"Dry mouth, Rash, Nausea",Severe,Approved
Mecozepam91,Anti-inflammatory,Bacterial infections,Dizziness,Moderate,Approved
Loxoxetine30,Antipyretic,Viral infections,"Dry mouth, Constipation",Mild,Rejected
Loxoparin21,Anti-inflammatory,Allergy relief,"Constipation, Blurred vision, Diarrhea",Mild,Approved
Rivadipine26,Antiviral,Pain relief,"Diarrhea, Dry mouth",Moderate,Pending
Viravir78,Antibiotic,Prevent infectious disease,"Nausea, Headache",Mild,Pending
Viraparin66,Antipsychotic,Bacterial infections,"Blurred vision, Rash",Mild,Approved
Mecozepam69,Anti-inflammatory,Bacterial infections,Dizziness,Severe,Rejected
Amoxvir41,Antidepressant,Viral infections,"Constipation, Blurred vision, Dizziness",Severe,Rejected
Virazole92,Vaccine,Prevent infectious disease,"Dizziness, Blurred vision",Mild,Rejected
Zylocillin45,Analgesic,Pain relief,"Rash, Constipation",Severe,Pending
Zyloparin35,Vaccine,Prevent infectious disease,Insomnia,Mild,Approved
Viravir41,Antidepressant,Psychosis control,"Fatigue, Rash",Mild,Approved
Mecomab60,Antiviral,Prevent infectious disease,Blurred vision,Moderate,Approved
Amoxstatin30,Analgesic,Fever reduction,"Fatigue, Insomnia",Severe,Rejected
Serodipine33,Antifungal,Fever reduction,"Nausea, Fatigue",Moderate,Pending
Mecocillin87,Antipyretic,Prevent infectious disease,"Dry mouth, Fatigue",Mild,Pending
Daxovir41,Analgesic,Depression treatment,Diarrhea,Severe,Rejected
Serozole25,Antifungal,Prevent infectious disease,"Diarrhea, Blurred vision",Severe,Rejected
Daxostatin58,Antidepressant,Inflammation reduction,"Blurred vision, Nausea, Diarrhea",Moderate,Pending
Mecomab24,Antiviral,Bacterial infections,"Headache, Nausea",Moderate,Approved
Rivaxetine71,Vaccine,Prevent infectious disease,"Rash, Fatigue, Insomnia",Moderate,Approved
Viramab49,Antifungal,Bacterial infections,"Rash, Dizziness, Nausea",Severe,Pending
Fenodipine86,Antipsychotic,Fungal infections,"Constipation, Dizziness",Severe,Pending
Seroparin27,Antifungal,Depression treatment,Nausea,Severe,Pending
Amoxstatin28,Anti-inflammatory,Viral infections,Blurred vision,Moderate,Pending
Serodipine85,Antipsychotic,Pain relief,"Nausea, Blurred vision, Rash",Mild,Pending
Cefdipine98,Analgesic,Allergy relief,"Dry mouth, Diarrhea",Mild,Rejected
Fenozepam84,Vaccine,Prevent infectious disease,Insomnia,Severe,Approved
Cefzepam49,Anti-inflammatory,Depression treatment,"Headache, Insomnia",Severe,Approved
Viraprofen83,Antifungal,Allergy relief,"Rash, Blurred vision, Dizziness",Severe,Approved
Mecovir27,Analgesic,Allergy relief,"Dizziness, Fatigue, Headache",Mild,Rejected
Cefxetine87,Antipyretic,Allergy relief,"Diarrhea, Blurred vision",Mild,Rejected
Amoxcillin42,Vaccine,Bacterial infections,"Insomnia, Dizziness, Fatigue",Severe,Pending
Mecozepam65,Antibiotic,Psychosis control,Diarrhea,Moderate,Rejected
Seroparin58,Antibiotic,Bacterial infections,"Diarrhea, Headache",Mild,Approved
Cefzepam91,Analgesic,Pain relief,"Insomnia, Constipation",Mild,Rejected
Virastatin74,Analgesic,Prevent infectious disease,"Blurred vision, Dizziness",Severe,Rejected
Mecoprofen55,Antifungal,Depression treatment,"Rash, Diarrhea, Constipation",Moderate,Rejected
Daxovir69,Antidepressant,Prevent infectious disease,"Dizziness, Constipation",Mild,Pending
Viraprofen54,Antiviral,Pain relief,Insomnia,Mild,Rejected
Amoxparin83,Antiviral,Prevent infectious disease,"Dry mouth, Rash, Dizziness",Moderate,Rejected
Viraprofen38,Vaccine,Psychosis control,Fatigue,Severe,Rejected
Daxostatin19,Antipyretic,Inflammation reduction,"Dry mouth, Dizziness",Moderate,Rejected
Fenocillin43,Antipsychotic,Depression treatment,Headache,Mild,Approved
Daxomab61,Vaccine,Allergy relief,Rash,Mild,Approved
Rivaprofen72,Vaccine,Prevent infectious disease,Diarrhea,Severe,Pending
Fenoprofen74,Vaccine,Depression treatment,Fatigue,Mild,Approved
Mecodipine80,Antiviral,Fever reduction,"Constipation, Headache",Mild,Pending
Zylocillin66,Antibiotic,Depression treatment,"Rash, Headache",Mild,Rejected
Fenozole49,Anti-inflammatory,Viral infections,Nausea,Mild,Approved
Rivaparin53,Antipyretic,Depression treatment,"Dry mouth, Diarrhea, Nausea",Mild,Rejected
Seromab62,Antifungal,Allergy relief,Blurred vision,Severe,Pending
Rivaxetine31,Anti-inflammatory,Prevent infectious disease,"Insomnia, Nausea",Mild,Pending
Loxozepam13,Antibiotic,Fungal infections,"Fatigue, Headache",Mild,Approved
Cefparin54,Antidepressant,Bacterial infections,"Rash, Headache",Mild,Approved
Rivaxetine99,Antiviral,Psychosis control,Insomnia,Severe,Approved
Fenomab91,Antiviral,Pain relief,"Fatigue, Dizziness",Mild,Rejected
Viradipine86,Antihistamine,Bacterial infections,"Diarrhea, Constipation",Severe,Approved
Mecovir14,Antidepressant,Viral infections,"Constipation, Insomnia",Severe,Approved
